,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Blooming,EVI_Podding,PDSI_Podding,PDSI_Dropping leaves,PDSI_Harvest,PIC
25753,2012,south dakota_aurora,1.45152,-1.7454908885396745,-1.7719450698837884,-2.4984860560898987,0.3855158892335105,-3.369907544700002,-4.197912632978024,-4.590701518577138,0.0576951238908868
25791,2012,south dakota_beadle,1.90848,-1.9204791332466888,-1.938230707720264,-2.444270108459055,0.4700570436741161,-3.29983228807329,-3.8989460235205264,-4.246877150268319,0.0576951238908868
25832,2012,south dakota_brule,1.7135999999999998,-1.4630788538725654,-1.5706664934414087,-2.374323767842519,0.3795049713714901,-3.231431234534978,-4.18369097084171,-4.643968397673304,0.0576951238908868
25871,2012,south dakota_buffalo,1.36416,-1.3149999380111694,-1.4299999475479126,-2.25166662534078,0.4233954673374962,-3.080000042915344,-4.0299999713897705,-4.582499980926514,0.0576951238908868
25893,2012,south dakota_hand,1.89504,-1.9510470583892112,-2.04006544218062,-2.7691763223442454,0.4800313871788521,-3.470732363162848,-4.113612180205651,-4.5979881397457945,0.0576951238908868
25974,2012,south dakota_jerauld,1.76736,-1.7699999809265137,-1.8149999976158144,-2.258333365122477,0.370404240322116,-3.0475001335144043,-3.889999985694885,-4.147500038146973,0.0576951238908868
26005,2012,south dakota_sully,1.86816,-1.910571743287313,-1.994282502497258,-2.306636804244265,0.3496589308502829,-3.010022411966538,-3.625044814674309,-4.154091968664674,0.0576951238908868
26042,2012,south dakota_brookings,2.70144,-2.12303765160283,-1.8197031656480296,-2.0212911577651824,0.536730302973879,-3.0280033767564785,-3.659382503555376,-4.128489453642344,0.0576951238908868
26119,2012,south dakota_hanson,1.6464,-1.4777702520611893,-1.281339816027122,-1.9099963422329065,0.4564847252787241,-2.852290713585385,-3.616946819404329,-3.973681069656772,0.0576951238908868
26158,2012,south dakota_kingsbury,2.37216,-2.1929705734833007,-2.0320096564177725,-2.502262920618511,0.5156920625279764,-3.4816734880326754,-4.028594410340934,-4.393777139594171,0.0576951238908868
26198,2012,south dakota_lake,2.49984,-1.6409180805744183,-1.2619511569038058,-1.6930251319826322,0.5940370557056136,-2.6936942870835097,-3.452717507292502,-3.8885793400183855,0.0576951238908868
26240,2012,south dakota_mccook,1.6060799999999995,-1.917787784227361,-1.6563235077791405,-2.250487696856101,0.461853256624448,-3.24136131842894,-4.089443145834364,-4.472499170107732,0.0576951238908868
26282,2012,south dakota_miner,2.00256,-1.4446013808055047,-1.1502616420210283,-1.636509787293905,0.4721536557154291,-2.612340784887887,-3.333496857096958,-3.675340685094165,0.0576951238908868
26318,2012,south dakota_minnehaha,2.5872,-2.379270882933588,-2.143117932232528,-2.669137871215112,0.5084630962999004,-3.715904872751056,-4.55222629705521,-4.917337520498549,0.0576951238908868
26358,2012,south dakota_moody,3.08448,-1.6879096473115325,-1.2620714607105774,-1.1756294732716757,0.5831361716806105,-2.45954676948267,-3.27306799698818,-3.7612230844237233,0.0576951238908868
26433,2012,south dakota_brown,2.76864,-2.5458035494246367,-2.6766640010266243,-3.41375991354305,0.5964152616409004,-3.882625629914883,-3.998999194834101,-4.384580051236346,0.0576951238908868
26472,2012,south dakota_campbell,2.15712,-1.8100000023841856,-1.8600000143051147,-2.09333336353302,0.5175986191703539,-2.4800000190734863,-2.5549999475479126,-3.095000028610229,0.0576951238908868
26496,2012,south dakota_edmunds,2.27136,-2.43993947032604,-2.5384053326006053,-3.297446130625492,0.4904129854683529,-3.767411223775008,-3.853028795787164,-4.303966171945935,0.0576951238908868
